WKT,name,description
"LINESTRING (-97.1597077 34.650592, -97.1595826 34.6499837, -97.1594981 34.6495733, -97.1594861 34.6494332, -97.1593882 34.6489478, -97.1592782 34.6483708, -97.1591709 34.6478732, -97.159006 34.6470898, -97.1589228 34.6466066, -97.1587927 34.6458851, -97.1591642 34.6458486, -97.1593453 34.6458255, -97.1596403 34.6457858, -97.1606019 34.6456622, -97.1607776 34.645639, -97.1606032 34.6456622, -97.159643 34.6457858, -97.1593479 34.6458255, -97.1591669 34.6458486, -97.1587927 34.6458862, -97.1585379 34.6459137, -97.1582429 34.645938, -97.1575428 34.6460296, -97.1568454 34.6461002, -97.1569259 34.6465062, -97.156997 34.6468416, -97.1571552 34.6477529, -97.156997 34.6468416, -97.1569259 34.6465062, -97.1568454 34.6461002, -97.1567868 34.645768, -97.1567117 34.6454293)",Line 20,
"LINESTRING (-97.157656 34.6465337, -97.1576291 34.6463748, -97.1575996 34.6462214, -97.1575428 34.6460296)",Line 21,
"LINESTRING (-97.1583091 34.646313, -97.1582429 34.645938, -97.1580985 34.6453377, -97.1580851 34.6452538, -97.1580811 34.6451645)",Line 22,
"LINESTRING (-97.1535654 34.6433026, -97.1535373 34.6431374)",Line 24,
"LINESTRING (-97.1542413 34.6432993, -97.1541623 34.6426166, -97.1541502 34.6422117, -97.1541395 34.6418398, -97.1540215 34.6414404, -97.1535963 34.6414448, -97.1534971 34.641446, -97.1530706 34.6414504, -97.1524148 34.6414493, -97.1517108 34.6414437, -97.1524135 34.6414493, -97.1530706 34.6414504, -97.1534971 34.6414471, -97.1535963 34.641446, -97.1540228 34.6414415, -97.154169 34.6414471, -97.1544627 34.6414371, -97.1547484 34.6414305, -97.1550649 34.6414338, -97.1553746 34.6414283, -97.1557314 34.6414261, -97.1559352 34.641425, -97.1563496 34.6414151, -97.1566876 34.6413842, -97.1571972 34.6413235, -97.1577283 34.6412407, -97.1583962 34.6411602, -97.1588387 34.6411006, -97.1596648 34.6410101, -97.160208 34.6409417, -97.1607136 34.6408744, -97.1609992 34.6408259, -97.1617114 34.6407431, -97.1622022 34.6406857, -97.1632013 34.6405489, -97.1636613 34.640496, -97.1641455 34.6404309, -97.1647034 34.6403547, -97.1649676 34.6403161, -97.1653954 34.6402631, -97.1657012 34.6402146, -97.1661813 34.6401506, -97.1666574 34.6400921)",Line 25,
"LINESTRING (-97.1635101 34.6367545, -97.1636294 34.6374496, -97.163616 34.6376229, -97.1636952 34.6380455, -97.163785 34.6384935, -97.1638118 34.638617, -97.1638749 34.6389977, -97.1639728 34.6395296, -97.1640049 34.6396763, -97.1640881 34.6400669, -97.1641455 34.6404309, -97.1642584 34.6410103, -97.1642826 34.6411835, -97.1643872 34.6416315, -97.1644254 34.6418353, -97.1643367 34.6414069, -97.1642826 34.6411835, -97.1637808 34.6412494, -97.1635944 34.641278)",Line 26,
"LINESTRING (-97.1647768 34.6369986, -97.1648599 34.6374488, -97.1649994 34.6382267, -97.1650557 34.6384959, -97.1651335 34.6389097, -97.1652086 34.6392716, -97.1652542 34.6395794, -97.165336 34.6399656, -97.1653776 34.6402646, -97.1654594 34.6405096, -97.1655171 34.6408031, -97.1655479 34.641058, -97.1655922 34.6413857, -97.1656485 34.6417023, -97.1657625 34.6419903, -97.1658604 34.6424096)",Line 28,
"LINESTRING (-97.1648629 34.6374652, -97.1643305 34.6375336, -97.1639751 34.6375744, -97.1636103 34.6376296, -97.163271 34.6376594, -97.1629277 34.6377013, -97.1626595 34.6377399, -97.1623416 34.6377719, -97.1620265 34.6377973)",Line 29,
"LINESTRING (-97.1616896 34.6407493, -97.1614857 34.6406279, -97.1614348 34.6403697, -97.1614616 34.6402175, -97.161412 34.6399946, -97.1613047 34.6393932, -97.1612108 34.6389607, -97.161074 34.638345, -97.1609882 34.6379555)",Line 30,
"LINESTRING (-97.160881 34.6408458, -97.1607549 34.640378, -97.1605565 34.6401044, -97.1604653 34.6395748, -97.1603365 34.639108)",Line 31,
"LINESTRING (-97.1558601 34.6372943, -97.1558601 34.6376827, -97.1558494 34.6379553, -97.1558574 34.6382378, -97.1558413 34.6385379, -97.1552915 34.6385688, -97.1547376 34.6385875, -97.154008 34.6385909, -97.1540134 34.6391271, -97.154008 34.6394813, -97.1539959 34.6398708, -97.1540134 34.6401599, -97.1540147 34.6404059, -97.1537787 34.6404081, -97.1534367 34.6404136, -97.1530464 34.6404114, -97.1524738 34.6404081, -97.1519749 34.6404125, -97.151708 34.6404181, -97.1514251 34.6404092)",Line 33,
"LINESTRING (-97.1540066 34.640031, -97.1541689 34.6400431, -97.1546222 34.640031, -97.1551425 34.6400365, -97.1556602 34.6400387, -97.1556655 34.640394, -97.1556749 34.6406886, -97.1556897 34.6408166, -97.1557004 34.6414289)",Line 34,
"LINESTRING (-97.1556904 34.6408078, -97.1558835 34.6407052, -97.1563368 34.6406456, -97.1562161 34.6403234, -97.1561383 34.6398611)",Line 35,
"LINESTRING (-97.1625438 34.6414055, -97.1620476 34.6414728, -97.161538 34.6415368, -97.1611893 34.6415787, -97.1608795 34.6416229, -97.1604248 34.641699, -97.1600507 34.641731, -97.1598133 34.6417751, -97.1590864 34.6418402)",Line 46,
"LINESTRING (-97.1589874 34.6375457, -97.159088 34.6380401, -97.1591282 34.6382784, -97.1592248 34.6388687, -97.1593495 34.6394612, -97.1594702 34.6401089, -97.1595748 34.6406474, -97.1596553 34.6410126, -97.1597719 34.641487, -97.1598133 34.6417751, -97.1599141 34.6424094, -97.160126 34.6434786, -97.1602306 34.6439276, -97.1603298 34.6443899, -97.1604103 34.6447187, -97.1604398 34.6448566)",Line 48,
"LINESTRING (-97.1700499 34.6498434, -97.1698246 34.6498611, -97.1697683 34.649614, -97.1697253 34.6493492, -97.1696824 34.6491682, -97.1696288 34.6488417, -97.1695751 34.6485945, -97.1695161 34.6482878, -97.1694518 34.6482945, -97.1694088 34.6480275, -97.1693284 34.6476877, -97.169272 34.6473302, -97.1692318 34.6470124, -97.1691138 34.646324, -97.168985 34.6456907, -97.168918 34.6453178, -97.168859 34.6450397, -97.1687986 34.6447463, -97.1687302 34.644391, -97.1686605 34.6440225, -97.1686042 34.6437489, -97.1685237 34.6431531, -97.1684567 34.6428441, -97.1684111 34.6426146, -97.1683427 34.6423068, -97.1682448 34.6418026, -97.1681978 34.6415731, -97.1681549 34.6412785, -97.168049 34.640761, -97.1680087 34.6405745, -97.1679698 34.6403682, -97.1678786 34.6399169, -97.1678156 34.6395219, -97.1677472 34.6393332, -97.1676748 34.6388908, -97.1676185 34.638509, -97.1675447 34.6381327, -97.1674813 34.637841)",Line 36,
"LINESTRING (-97.1589161 34.6496218, -97.1591441 34.6496009, -97.1594981 34.6495589, -97.1601754 34.6494751, -97.1608231 34.6494067, -97.161322 34.6493339, -97.1617619 34.649282, -97.1619751 34.6492533, -97.1621669 34.649228, -97.1625612 34.649175, -97.1626899 34.6491574, -97.1633028 34.6490901, -97.163791 34.6490217, -97.1643087 34.648961, -97.1645554 34.6489257, -97.1648652 34.6488738, -97.1651898 34.6488363, -97.165411 34.6488076, -97.1657463 34.6487635, -97.1660199 34.6487304, -97.1663364 34.648694, -97.1666717 34.6486443, -97.1670016 34.6486035, -97.1673623 34.6485638, -97.1677459 34.6485175, -97.1685975 34.6483873, -97.1690146 34.6483365, -97.1694518 34.6482945)",Line 37,
"LINESTRING (-97.1682286 34.6484443, -97.1682111 34.6482822, -97.168191 34.6481134, -97.1681561 34.6479015, -97.1680435 34.6475694, -97.1680006 34.6473631, -97.1679751 34.6472131, -97.167908 34.646796, -97.1678329 34.64639, -97.1677806 34.6460149, -97.167727 34.6457523, -97.1676707 34.6454931, -97.167609 34.6450914, -97.1675459 34.6448664, -97.1674816 34.6444592, -97.16744 34.6442253, -97.1673461 34.6437564, -97.167267 34.6434387, -97.1672348 34.6432985, -97.1672133 34.6431882, -97.1671852 34.6429885, -97.1671329 34.6427292, -97.1670698 34.6424104, -97.1670108 34.6421014, -97.1670859 34.6420915, -97.166984 34.6416204, -97.1667829 34.6415034)",Line 38,
"LINESTRING (-97.1670016 34.6486035, -97.1669635 34.6484535, -97.1668642 34.6480078, -97.1668012 34.6477121, -97.1667502 34.6474496, -97.1666242 34.646835, -97.1665625 34.6464687, -97.166545 34.6463915, -97.1665021 34.646023, -97.1664525 34.6458222, -97.1664257 34.6456633, -97.1663694 34.6453037, -97.1662969 34.6450764, -97.1662218 34.6445931, -97.1661856 34.6443967, -97.1661011 34.6440823, -97.1660757 34.6438749)",Line 39,
